description,location,name,category,datetime
"A fictional story of a lone space traveler told through an auditory hallucination of Progressive/Djent/Metal/Rock music.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - Worldwide, Producer/Studio Engineer","Dirty Dog Bar, Austin, TX",Metal Concert,Concert,2025-11-10 15:30:00
"Based in Queens, NY, Aaron Cohen was quickly embraced by the New York rap scene after finishing high school, and has since released projects via Decon/Mass Appeal Records and Mishka Records. Cohen has toured extensively in the US, Europe and Asia, and has been featured in XXL, Noisey, The Source, Spin, Complex, Hypebeast, and more.  Fresh off the release of his debut full-length project titled ""See Red,"" Aaron just announced his upcoming project ""Red New York"" due in late 2018.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Mohawk Indoor, New York, NY",Hip-Hop / Rap Concert,Concert,2025-11-24 10:15:00
"Abhi The Nomad is a producer, rapper and singer who was born in India, brought up in China, and currently lives in Austin, TX.
From indie rock to hip hop, Abhi’s approach to music is heavily influenced by the likes of The Strokes, Arctic Monkeys and Queens of The Stone Age, all the way to Kendrick Lamar, Kanye West and Chance The Rapper. 
This unique blend of genres is audible in his debut album ""Marbled"" which explodes with different styles, colors and flavors. Hailed as Austin's #1 album of the year in 2018 by Austin Chronicle, and covered by various outlets such as Chicago Sun-Times, NPR, Consequence of Sound, Abhi had a trailblazing year after debuting his album, touring the nation and releasing some heavy-hitting singles.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, PR/Publicity Agency, Publishing, Sync/Music Supervisors","Nuevo Leon, Austin, TX",Hip-Hop / Rap Concert,Concert,2025-11-20 17:00:00
"Abraham Alexander is one of the most exciting new names to emerge from Fort Worth, Texas in years. Having built a loyal audience from tirelessly playing the open-mic circuit, he’s already opened for a diverse range of artists - from Patty Griffin to Ginuwine. Abraham is currently preparing to release his debut single, Lovers Game, on March 27th.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","St David's Historic Sanctuary, Fort Worth, TX",Soul Concert,Concert,2025-09-22 17:15:00
,"Empire Garage, Los Angeles, CA",Singer-Songwriter Concert,Concert,2025-10-20 23:30:00
"Before the 2016 election, an album like this might be called a “dystopia”; now we call it “did you see what he tweeted?” On Ostrar’s new album, he weaves together disparate voices, like a non-fiction version of Our Town. ""The Worried Coat"" out April 5th on Super Secret Records, was recorded in part in Mexico City courtesy of Richard Davies (The Moles) hand-me-down studio time and the other half at a ranch in the Sonoran Desert of Arizona, Ostrar wrapped and warped his Gretsch Country Gentleman guitar around these groovy nuggets of capitalistic despair, cretinism, gas lighting, nationalism and nativism, false heroism, and that good-time tug-of-war (this game is rigged) called Inherited Wealth vs. Inherited Debt. But he wasn’t alone in making this album, so don’t worry too much about him. He brought along Michael Krassner (Boxhead Ensemble), Wil Hendricks (Califone), and Stephen Patterson (Hamilton Leithauser). 
This is Ostrar’s second solo album, the follow-up to 2017’s Brawls In the Briar. Before that, he led the early 2000 shag-carpet art-punk of Manishevitz, an early Jagjaguwar band that toured with The Mountain Goats and Edith Frost before the Internet tracked these things.  
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Beerland, Austin, TX",Singer-Songwriter Concert,Concert,2025-11-20 10:45:00
"Nigeria-Born Adekunle Kosoko, popularly known by his stage name Adekunle Gold, is an award-winning Urban Highlife singer-songwriter. He released his debut album ‘Gold’ in 2016 and his sophomore album ‘About 30’ in 2018. His hit single ‘Sade’ won him Best Alternative Song at The Headies 2015. He has garnered awards from Nigerian Entertainment Awards (NEAs), Afrima Awards, Beat of Lagos, and many more. Adekunle Gold is an international artist with his sound transcending boarders with a sold out show at the Indigo, O2 Arena in London.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Publishing, Sync/Music Supervisors","Palm Door on Sixth Patio, Lagos, NIGERIA",World Concert,Concert,2025-09-22 11:15:00
"AdELA is triple-threat. She’s a singer, songwriter, and rapper reaping the benefits of
pursuing her dreams of stardom. The tenacious South African-born, Atlanta-based beauty got her resolve for pursuing the life she wanted from her parents, who left lucrative careers in South Africa in order to escape apartheid in the ‘90s. AdELA’s family first settled in Miami exposing her to all styles of music from Miami Bass, Nas, Tupac, Royce Da 5’9 to Frank Sinatra – artists she describes as “timeless and an inspiration for her own creativity.” AdELA earned her first RIAA Certified Gold credit as a co-writer and performer on Meek Mill’s “Made it From Nothing.” In 2015, AdELA made her official debut with Off the Burner, followed
by her EP Dreamers and Thinkers in 2017, where she decided to feature a well-known rapper on every track. AdELA landed collaborations with Royce Da 5’9, Skyzoo, Torae, Fat Joe, and Kool G Rap just to name a few. Dreamers and Thinkers peaked at number 21 on the iTunes Top 100 in the United States as well as breaking the Top 100 in the UK and France. AdELA’s next mission is breaking into the Top 20 with her latest project entitled, On the Line, set for release in 2019. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Sync/Music Supervisors","The Belmont, Atlanta, GA",Hip-Hop / Rap Concert,Concert,2025-11-27 19:00:00
"Adrian Jean has led a tumultuous life that’s taken him from the poorest neighborhoods in Philadelphia to glamorous nightclubs, to homelessness and redemption. The soulful Los Angeles-based singer-songwriter channels this past into intimate yet infectious pop-meets- R&B sounds. 
Adrian offers a powerful look at his personal history through anthemic and club-ready tracks such as “Tell The World,” alongside thoughtful songs about identity and acceptance like “Story of Blue.” His yearning, yet polished, gospel-influenced vocals and catchy beats sound as if Adele and Sam Smith produced a statuesque black child with a serious story to tell. 
After several successful years singing Top 40 covers and standards across the country, Adrian decided to focus on his own music and developed Caged Bird. Adrian has performed his music as a five piece band as part of a two month residency series at the inaugural US multimedia exhibition The Velvet Underground Experience, which opened in New York City on Oct. 10. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Other Artists to Tour With, Producer/Studio Engineer, Sync/Music Supervisors","Maggie Mae's Rooftop, Los Angeles, CA",Pop Concert,Concert,2025-10-02 18:15:00
"AEM is a new electronic classical pop band comprising of four permanent musicians: Xiao Ying  (keyboard, vocal), LUKA (electronic control, vocal), and Long Fei (BASS, vocal). Band gathers a number of professional musicians, cross-over classical and popular, Academic and the public. It is based on the creation of classical, electronic, rock and other multi-element pioneer music, and performs cross-border cooperation performances in galleries, art exhibitions, and high-end brands. Occasionally, according to the needs of the work, other musicians who include rock, pop, electro-acoustic and classical fields will join in the show.
AEM is known as Art et Métier and is the name of a subway station in Paris, France. It is a Place where Xiao Ying and Luka used to be. AEM's formational plan can be traced back to about four or five years ago, but the formation of the official team was in 2016.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.","Elysium, Beijing, CHINA",Classical Concert,Concert,2025-12-05 12:15:00
