Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,app_prompt_missing,13,0,52000.0,47490.44235823083,17780.03478000028,59823.55007299975,52.0,0.043381953352004704,0.0,52000,58000,59000,59000,60000,60000,60000,60000,60000,60000,60000
POST,auth_login,120,0,19000.0,16113.012977283293,1555.6935610002256,21167.317207999986,349.0,0.40044880017235107,0.0,19000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000
POST,auth_login_bad,8,0,54000.0,50666.05156499975,18504.05639499968,59626.70891000016,35.0,0.02669658667815674,0.0,58000,59000,59000,59000,60000,60000,60000,60000,60000,60000,60000
GET,events_by_category_invalid,7,0,32000.0,35131.83971757163,15087.080878000052,57373.81834000007,3.0,0.023359513343387147,0.0,32000,52000,56000,56000,57000,57000,57000,57000,57000,57000,57000
GET,events_by_category_valid,21,0,57000.0,50001.271065618996,19022.53815200038,66214.3104679999,57773.142857142855,0.07007854003016144,0.0,57000,58000,59000,59000,60000,62000,66000,66000,66000,66000,66000
GET,events_by_date,30,0,48000.0,43128.235302199915,8489.599431999522,68086.89947499988,56875.2,0.10011220004308777,0.0,48000,58000,59000,60000,60000,62000,68000,68000,68000,68000,68000
GET,events_by_date_invalid,14,0,46000.0,40692.06834164275,18295.760415000586,62841.34247200018,51.0,0.046719026686774294,0.0,47000,50000,53000,54000,56000,63000,63000,63000,63000,63000,63000
GET,events_by_date_invalid_retry,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,events_by_location,34,0,49000.0,46675.047911941125,16393.98558999983,67315.6695759999,57349.64705882353,0.11346049338216614,0.0,53000,58000,60000,60000,62000,63000,67000,67000,67000,67000,67000
GET,events_by_organizer,27,0,49000.0,48018.77688507405,14635.28142999985,66896.45604500038,21.444444444444443,0.09010098003877899,0.0,49000,59000,60000,60000,62000,64000,67000,67000,67000,67000,67000
GET,events_by_organizer_not_found,11,0,48000.0,43609.598944909194,17422.237187000064,65524.26511199974,99.0,0.03670780668246552,0.0,48000,53000,57000,57000,60000,66000,66000,66000,66000,66000,66000
GET,events_by_title,19,0,46000.0,44715.58340363169,19780.801930000052,62425.58844099949,299.94736842105266,0.06340439336062226,0.0,46000,52000,57000,57000,58000,62000,62000,62000,62000,62000,62000
GET,events_by_title_not_found,17,0,34000.0,39764.720902352936,14064.381762000266,67590.83938399999,80.0,0.05673024669108307,0.0,34000,58000,59000,61000,66000,68000,68000,68000,68000,68000,68000
POST,events_create,26,0,54000.0,51489.41537742309,15615.76030499964,67130.14552999994,184.0,0.08676390670400941,0.0,56000,57000,59000,59000,62000,65000,67000,67000,67000,67000,67000
POST,events_create_conflict,11,0,48000.0,43893.38328318156,8527.700942999218,60110.54752399923,104.0,0.03670780668246552,0.0,48000,53000,57000,57000,59000,60000,60000,60000,60000,60000,60000
POST,events_create_conflict_retry,11,0,57000.0,52006.99793536378,19984.005070999956,60677.029579999726,104.0,0.03670780668246552,0.0,57000,59000,59000,59000,60000,61000,61000,61000,61000,61000,61000
POST,events_create_invalid,17,0,43000.0,38956.95817217657,15016.67146300042,60785.28143499989,295.0,0.05673024669108307,0.0,43000,46000,50000,57000,60000,61000,61000,61000,61000,61000,61000
POST,events_create_invalid_retry,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POST,events_create_malformed,19,0,47000.0,44721.720829947306,14755.866405000233,61690.81234700025,92.0,0.06340439336062226,0.0,47000,54000,56000,59000,61000,62000,62000,62000,62000,62000,62000
POST,events_create_oversized,12,0,51000.0,49102.18835300004,22739.7266629996,58729.886814000565,139.0,0.04004488001723511,0.0,52000,52000,57000,57000,58000,59000,59000,59000,59000,59000,59000
POST,events_create_oversized_retry,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POST,events_create_valid,28,0,52000.0,47386.54513464284,15151.829308000742,61365.32720899959,250.0,0.09343805337354859,0.0,52000,57000,58000,58000,60000,61000,61000,61000,61000,61000,61000
POST,events_create_valid_retry,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DELETE,events_delete_by_title,13,0,58000.0,54744.79309607684,27681.498372000533,66464.8438739996,0.0,0.043381953352004704,0.0,58000,60000,60000,60000,61000,66000,66000,66000,66000,66000,66000
DELETE,events_delete_idemp_first,4,0,58000.0,60515.41181199991,57470.62864899999,68358.62646700026,0.0,0.01334829333907837,0.0,59000,59000,68000,68000,68000,68000,68000,68000,68000,68000,68000
DELETE,events_delete_nonexistent,1,0,57681.199360999926,57681.199360999926,57681.199360999926,57681.199360999926,84.0,0.0033370733347695926,0.0,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
GET,events_list,17,0,52000.0,48359.459472470546,17714.34786000009,67930.29647599996,57692.882352941175,0.05673024669108307,0.0,52000,57000,60000,62000,65000,68000,68000,68000,68000,68000,68000
GET,events_list_invalid,16,0,47000.0,39569.402094999925,14480.647811999916,60793.665735000104,56553.25,0.05339317335631348,0.0,48000,51000,55000,55000,60000,61000,61000,61000,61000,61000,61000
GET,events_list_paged,59,0,57000.0,52523.645735932245,14795.141190000322,68376.82525299987,58343.30508474576,0.19688732675140594,0.0,57000,59000,60000,61000,64000,67000,67000,68000,68000,68000,68000
GET,events_list_valid,41,0,50000.0,45517.04646926829,15517.099605999647,63702.624376999665,57281.19512195122,0.13682000672555328,0.0,50000,57000,59000,59000,60000,62000,64000,64000,64000,64000,64000
GET,events_unauth,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GET,events_wrong_auth_scheme,0,0,0,0.0,0,0,0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POST,participants_add,16,0,45000.0,43429.75786274996,18555.71000100008,64072.17126100022,92.0,0.05339317335631348,0.0,46000,47000,57000,57000,59000,64000,64000,64000,64000,64000,64000
POST,participants_add_once,14,0,34000.0,41220.47703057147,16815.82936399991,64341.909263999696,92.0,0.046719026686774294,0.0,57000,59000,60000,62000,64000,64000,64000,64000,64000,64000,64000
POST,participants_add_twice,9,0,46000.0,40230.06766688902,14076.274725000076,64586.69889599969,133.88888888888889,0.03003366001292633,0.0,46000,46000,48000,59000,65000,65000,65000,65000,65000,65000,65000
